,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params
0,0.9996541666651267,0.9996152598061061,0.9996347132356165,1.945342951031881e-05,5,0.18005788326263428,0.007034659385681152,0.08952152729034424,0.0013273954391479492,0.0022001842960675186,2,0.02970860831387396,linear,"OrderedDict([('C', 0.0022001842960675186), ('degree', 2), ('gamma', 0.02970860831387396), ('kernel', 'linear')])"
1,0.00676325915210596,0.006655878817209304,0.006709568984657633,5.369016744832811e-05,7,0.8325362205505371,0.0025763511657714844,0.5538543462753296,0.004356980323791504,1.443339256986711,6,1.3246003995941246e-06,rbf,"OrderedDict([('C', 1.443339256986711), ('degree', 6), ('gamma', 1.3246003995941246e-06), ('kernel', 'rbf')])"
2,-0.00013438855275249573,-0.00010476504658529784,-0.00011957679966889678,1.4811753083598944e-05,10,0.6693639755249023,0.002188444137573242,0.43275249004364014,0.002191901206970215,0.00045186237068021605,3,0.000865144471227519,poly,"OrderedDict([('C', 0.00045186237068021605), ('degree', 3), ('gamma', 0.000865144471227519), ('kernel', 'poly')])"
3,0.9999115823319792,0.9998925591470612,0.9999020707395201,9.51159245898836e-06,3,0.08553218841552734,0.0007941722869873047,0.02076864242553711,0.0002238750457763672,20.929809536256098,6,0.0002970554163260942,rbf,"OrderedDict([('C', 20.929809536256098), ('degree', 6), ('gamma', 0.0002970554163260942), ('kernel', 'rbf')])"
4,0.0002619104637185954,0.00028360926488668614,0.00027275986430264076,1.0849400584045377e-05,9,0.8589011430740356,0.006132006645202637,0.5703483819961548,0.004407048225402832,0.012038377410819107,6,9.112296313387784e-06,rbf,"OrderedDict([('C', 0.012038377410819107), ('degree', 6), ('gamma', 9.112296313387784e-06), ('kernel', 'rbf')])"
5,0.00330079784757753,0.003261781927627605,0.0032812898876025676,1.9507959974962574e-05,8,0.5978151559829712,0.0016535520553588867,0.3774576187133789,0.005926609039306641,1.9023222955697835e-06,4,1.1795997202644224e-06,linear,"OrderedDict([('C', 1.9023222955697835e-06), ('degree', 4), ('gamma', 1.1795997202644224e-06), ('kernel', 'linear')])"
6,0.9984438178121479,0.9981895129194618,0.9983166653658049,0.00012715244634303735,6,0.5456464290618896,0.01172947883605957,0.3349597454071045,0.008105754852294922,0.7797779816565108,1,0.0008546278518784091,rbf,"OrderedDict([('C', 0.7797779816565108), ('degree', 1), ('gamma', 0.0008546278518784091), ('kernel', 'rbf')])"
7,0.9998002514632492,0.9997668817513107,0.9997835666072801,1.6684855969284484e-05,4,1.7064329385757446,0.01690852642059326,0.05772662162780762,0.0004088878631591797,863.9697037057811,4,0.0022568837357477174,rbf,"OrderedDict([('C', 863.9697037057811), ('degree', 4), ('gamma', 0.0022568837357477174), ('kernel', 'rbf')])"
8,0.999920136032903,0.999914759698213,0.9999174478655579,2.688167344999659e-06,2,0.06443095207214355,0.0009098052978515625,0.006529569625854492,6.413459777832031e-05,0.025663375174667838,6,0.001116944655020121,linear,"OrderedDict([('C', 0.025663375174667838), ('degree', 6), ('gamma', 0.001116944655020121), ('kernel', 'linear')])"
9,0.9999298467529565,0.9999259133658515,0.9999278800594038,1.9666935525131106e-06,1,0.06366312503814697,0.000868678092956543,0.0041457414627075195,0.00014865398406982422,0.05418635986301637,1,0.04339110194337888,linear,"OrderedDict([('C', 0.05418635986301637), ('degree', 1), ('gamma', 0.04339110194337888), ('kernel', 'linear')])"
